name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
ABBASALI Hamideh,ABBASALI H,Female,1990-03-14,RAY,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1284763-abbasali-hamideh.htm
ABDELAZIZ Abdalla,ABDELAZIZ A,Male,1999-03-29,,,Egypt,EGY,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1306315-abdelaziz-abdalla.htm
ABDELAZIZ Feryal,ABDELAZIZ F,Female,1999-02-16,,,Egypt,EGY,Karate,KTE,CAIRO,Egypt,,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm
AGHAYEV Rafael,AGHAYEV R,Male,1985-03-04,SUMQAYIT,Azerbaijan,Azerbaijan,AZE,Karate,KTE,AZERBAIJAN,,,../../../en/results/karate/athlete-profile-n1439675-aghayev-rafael.htm
AKTAS Ugur,AKTAS U,Male,1995-10-10,,,Turkey,TUR,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1325285-aktas-ugur.htm
ALMASATFA Abdel Rahman,ALMASATFA AR,Male,1996-05-26,,,Jordan,JOR,Karate,KTE,AMMAN,Jordan,,../../../en/results/karate/athlete-profile-n1406770-almasatfa-abdel-rahman.htm
ALMOSAWI Sayed Mohammed,ALMOSAWI SM,Male,1995-05-12,,,Kuwait,KUW,Karate,KTE,KUWAIT CITY,Kuwait,,../../../en/results/karate/athlete-profile-n1498681-almosawi-sayed-mohammed.htm
ANACAN Andrea,ANACAN A,Female,1990-11-24,,Philippines,New Zealand,NZL,Karate,KTE,AUCKLAND,New Zealand,,../../../en/results/karate/athlete-profile-n1460330-anacan-andrea.htm
ARAGA Ryutaro,ARAGA R,Male,1990-10-16,KAMEOKA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315375-araga-ryutaro.htm
ARKANIA Gogita,ARKANIA G,Male,1984-05-26,,,Georgia,GEO,Karate,KTE,TBILISI,Georgia,,../../../en/results/karate/athlete-profile-n1286496-arkania-gogita.htm
ASSADILOV Darkhan,ASSADILOV D,Male,1987-08-27,SARYAGHASH,Kazakhstan,Kazakhstan,KAZ,Karate,KTE,SHYMKENT,Kazakhstan,,../../../en/results/karate/athlete-profile-n1304791-assadilov-darkhan.htm
