medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code_x,discipline_code_x,event,country_x,discipline_x,subdiscipline,name,short_name,gender,birth_date,birth_place,birth_country,country_y,country_code_y,discipline_y,discipline_code_y,residence_place,residence_country,height_m/ft,url,age
Gold,1,2021-08-05 00:00:00.0,da COSTA S,da COSTA Steven,M,../../../en/results/karate/athlete-profile-n1310945-da-costa-steven.htm,FRA,KTE,Men's Kumite -67kg,France,Karate,Kumite,da COSTA Steven,da COSTA S,Male,1997-01-23,MONT-SAINT-MARTIN,France,France,FRA,Karate,KTE,MONT-SAINT-MARTIN,France,,../../../en/results/karate/athlete-profile-n1310945-da-costa-steven.htm,24
Silver,2,2021-08-05 00:00:00.0,SAMDAN E,SAMDAN Eray,M,../../../en/results/karate/athlete-profile-n1325280-samdan-eray.htm,TUR,KTE,Men's Kumite -67kg,Turkey,Karate,Kumite,SAMDAN Eray,SAMDAN E,Male,1997-07-25,KOCAELI,Turkey,Turkey,TUR,Karate,KTE,DARICA,Turkey,,../../../en/results/karate/athlete-profile-n1325280-samdan-eray.htm,24
Bronze,3,2021-08-05 00:00:00.0,ALMASATFA AR,ALMASATFA Abdel Rahman,M,../../../en/results/karate/athlete-profile-n1406770-almasatfa-abdel-rahman.htm,JOR,KTE,Men's Kumite -67kg,Jordan,Karate,Kumite,ALMASATFA Abdel Rahman,ALMASATFA AR,Male,1996-05-26,,,Jordan,JOR,Karate,KTE,AMMAN,Jordan,,../../../en/results/karate/athlete-profile-n1406770-almasatfa-abdel-rahman.htm,25
Bronze,3,2021-08-05 00:00:00.0,ASSADILOV D,ASSADILOV Darkhan,M,../../../en/results/karate/athlete-profile-n1304791-assadilov-darkhan.htm,KAZ,KTE,Men's Kumite -67kg,Kazakhstan,Karate,Kumite,ASSADILOV Darkhan,ASSADILOV D,Male,1987-08-27,SARYAGHASH,Kazakhstan,Kazakhstan,KAZ,Karate,KTE,SHYMKENT,Kazakhstan,,../../../en/results/karate/athlete-profile-n1304791-assadilov-darkhan.htm,33
Gold,1,2021-08-05 00:00:00.0,SANCHEZ JAIME S,SANCHEZ JAIME Sandra,W,../../../en/results/karate/athlete-profile-n1337340-sanchez-jaime-sandra.htm,ESP,KTE,Women's Kata,Spain,Karate,Kata,SANCHEZ JAIME Sandra,SANCHEZ JAIME S,Female,1981-09-16,,,Spain,ESP,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1337340-sanchez-jaime-sandra.htm,39
Silver,2,2021-08-05 00:00:00.0,SHIMIZU K,SHIMIZU Kiyou,W,../../../en/results/karate/athlete-profile-n1315384-shimizu-kiyou.htm,JPN,KTE,Women's Kata,Japan,Karate,Kata,SHIMIZU Kiyou,SHIMIZU K,Female,1993-12-07,OSAKA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315384-shimizu-kiyou.htm,27
Bronze,3,2021-08-05 00:00:00.0,LAU MSG,LAU Mo Sheung Grace,W,../../../en/results/karate/athlete-profile-n1399347-lau-mo-sheung-grace.htm,HKG,KTE,Women's Kata,Hong Kong,Karate,Kata,LAU Mo Sheung Grace,LAU MSG,Female,1991-10-19,,,"Hong Kong, China",HKG,Karate,KTE,HONG KONG,People's Republic of China,,../../../en/results/karate/athlete-profile-n1399347-lau-mo-sheung-grace.htm,29
Bronze,3,2021-08-05 00:00:00.0,BOTTARO V,BOTTARO Viviana,W,../../../en/results/karate/athlete-profile-n1337868-bottaro-viviana.htm,ITA,KTE,Women's Kata,Italy,Karate,Kata,BOTTARO Viviana,BOTTARO V,Female,1987-09-02,GENOA,Italy,Italy,ITA,Karate,KTE,ROME,Italy,,../../../en/results/karate/athlete-profile-n1337868-bottaro-viviana.htm,33
Gold,1,2021-08-05 00:00:00.0,GORANOVA I,GORANOVA Ivet,W,../../../en/results/karate/athlete-profile-n1328509-goranova-ivet.htm,BUL,KTE,Women's Kumite -55kg,Bulgaria,Karate,Kumite,GORANOVA Ivet,GORANOVA I,Female,2000-03-06,,,Bulgaria,BUL,Karate,KTE,PLEVEN,Bulgaria,,../../../en/results/karate/athlete-profile-n1328509-goranova-ivet.htm,21
Silver,2,2021-08-05 00:00:00.0,TERLIUGA A,TERLIUGA Anzhelika,W,../../../en/results/karate/athlete-profile-n1337148-terliuga-anzhelika.htm,UKR,KTE,Women's Kumite -55kg,Ukraine,Karate,Kumite,TERLIUGA Anzhelika,TERLIUGA A,Female,1992-03-27,ODESSA,Ukraine,Ukraine,UKR,Karate,KTE,ODESSA,Ukraine,,../../../en/results/karate/athlete-profile-n1337148-terliuga-anzhelika.htm,29
