medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline,subdiscipline
Gold,1,2021-08-05 00:00:00.0,da COSTA S,da COSTA Steven,M,../../../en/results/karate/athlete-profile-n1310945-da-costa-steven.htm,FRA,KTE,Men's Kumite -67kg,France,Karate,Kumite
Silver,2,2021-08-05 00:00:00.0,SAMDAN E,SAMDAN Eray,M,../../../en/results/karate/athlete-profile-n1325280-samdan-eray.htm,TUR,KTE,Men's Kumite -67kg,Turkey,Karate,Kumite
Bronze,3,2021-08-05 00:00:00.0,ALMASATFA AR,ALMASATFA Abdel Rahman,M,../../../en/results/karate/athlete-profile-n1406770-almasatfa-abdel-rahman.htm,JOR,KTE,Men's Kumite -67kg,Jordan,Karate,Kumite
Bronze,3,2021-08-05 00:00:00.0,ASSADILOV D,ASSADILOV Darkhan,M,../../../en/results/karate/athlete-profile-n1304791-assadilov-darkhan.htm,KAZ,KTE,Men's Kumite -67kg,Kazakhstan,Karate,Kumite
Gold,1,2021-08-05 00:00:00.0,SANCHEZ JAIME S,SANCHEZ JAIME Sandra,W,../../../en/results/karate/athlete-profile-n1337340-sanchez-jaime-sandra.htm,ESP,KTE,Women's Kata,Spain,Karate,Kata
Silver,2,2021-08-05 00:00:00.0,SHIMIZU K,SHIMIZU Kiyou,W,../../../en/results/karate/athlete-profile-n1315384-shimizu-kiyou.htm,JPN,KTE,Women's Kata,Japan,Karate,Kata
Bronze,3,2021-08-05 00:00:00.0,LAU MSG,LAU Mo Sheung Grace,W,../../../en/results/karate/athlete-profile-n1399347-lau-mo-sheung-grace.htm,HKG,KTE,Women's Kata,Hong Kong,Karate,Kata
Bronze,3,2021-08-05 00:00:00.0,BOTTARO V,BOTTARO Viviana,W,../../../en/results/karate/athlete-profile-n1337868-bottaro-viviana.htm,ITA,KTE,Women's Kata,Italy,Karate,Kata
Gold,1,2021-08-05 00:00:00.0,GORANOVA I,GORANOVA Ivet,W,../../../en/results/karate/athlete-profile-n1328509-goranova-ivet.htm,BUL,KTE,Women's Kumite -55kg,Bulgaria,Karate,Kumite
Silver,2,2021-08-05 00:00:00.0,TERLIUGA A,TERLIUGA Anzhelika,W,../../../en/results/karate/athlete-profile-n1337148-terliuga-anzhelika.htm,UKR,KTE,Women's Kumite -55kg,Ukraine,Karate,Kumite
Bronze,3,2021-08-05 00:00:00.0,PLANK B,PLANK Bettina,W,../../../en/results/karate/athlete-profile-n1334480-plank-bettina.htm,AUT,KTE,Women's Kumite -55kg,Austria,Karate,Kumite
